trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
43	1	0.400000	2.000000	3	8	14	44	0.440000
44	0	0.100000	2.000000	1	6	70	15	0.150000
45	0	0.100000	6.000000	1	4	74	11	0.110000
46	0	0.100000	2.000000	1	8	58	15	0.150000
47	0	0.100000	6.000000	1	7	41	10	0.100000
48	1	0.400000	4.000000	3	4	1	42	0.420000
49	0	0.050000	6.000000	0	6	66	6	0.060000
50	1	0.400000	2.000000	3	9	68	45	0.450000
51	0	0.100000	2.000000	1	4	27	15	0.150000
52	1	0.200000	6.000000	2	2	15	31	0.310000
53	1	0.200000	4.000000	2	4	77	21	0.210000
54	0	0.050000	2.000000	0	2	52	9	0.090000
55	1	0.400000	2.000000	3	2	57	47	0.470000
56	0	0.100000	4.000000	1	6	78	13	0.130000
57	1	0.400000	4.000000	3	8	22	51	0.510000
58	1	0.200000	4.000000	2	9	5	25	0.250000
59	0	0.050000	6.000000	0	0	28	6	0.060000
60	0	0.050000	2.000000	0	0	27	9	0.090000
61	1	0.400000	4.000000	3	1	69	49	0.490000
62	0	0.050000	4.000000	0	1	2	5	0.050000
63	0	0.050000	2.000000	0	3	16	7	0.070000
64	1	0.200000	2.000000	2	9	44	24	0.240000
65	1	0.200000	6.000000	2	6	62	30	0.300000
66	1	0.200000	2.000000	2	6	67	27	0.270000
67	1	0.200000	2.000000	2	1	21	21	0.210000
68	1	0.400000	2.000000	3	5	70	43	0.430000
69	0	0.100000	2.000000	1	1	5	10	0.100000
70	1	0.200000	4.000000	2	8	28	24	0.240000
71	0	0.100000	4.000000	1	5	78	15	0.150000
72	0	0.050000	6.000000	0	7	25	10	0.100000
73	1	0.400000	4.000000	3	9	37	42	0.420000
74	1	0.200000	4.000000	2	2	4	26	0.260000
75	1	0.200000	2.000000	2	0	33	30	0.300000
76	1	0.400000	2.000000	3	1	56	46	0.460000
77	1	0.200000	6.000000	2	8	65	30	0.300000
78	0	0.100000	4.000000	1	4	12	14	0.140000
79	0	0.050000	4.000000	0	8	0	4	0.040000
80	0	0.100000	4.000000	1	8	41	13	0.130000
81	1	0.400000	6.000000	3	1	65	68	0.680000
82	0	0.100000	2.000000	1	7	14	13	0.130000
83	0	0.050000	6.000000	0	5	13	6	0.060000
84	1	0.200000	4.000000	2	3	43	20	0.200000
85	0	0.050000	2.000000	0	8	56	7	0.070000
86	0	0.100000	6.000000	1	1	43	14	0.140000
87	1	0.400000	4.000000	3	6	38	43	0.430000
88	1	0.200000	6.000000	2	3	39	27	0.270000
89	1	0.400000	4.000000	3	0	65	49	0.490000
90	0	0.100000	4.000000	1	9	16	17	0.170000
91	1	0.200000	4.000000	2	0	58	30	0.300000
92	1	0.400000	2.000000	3	3	45	43	0.430000
93	1	0.400000	4.000000	3	7	15	40	0.400000
94	0	0.100000	6.000000	1	5	15	13	0.130000
95	0	0.050000	6.000000	0	8	29	7	0.070000
96	0	0.050000	2.000000	0	1	55	10	0.100000
97	0	0.100000	2.000000	1	2	42	17	0.170000
98	1	0.400000	6.000000	3	5	33	48	0.480000
99	1	0.400000	6.000000	3	4	78	58	0.580000
100	1	0.200000	2.000000	2	5	60	35	0.350000
101	1	0.200000	4.000000	2	1	41	26	0.260000
102	1	0.400000	6.000000	3	6	69	66	0.660000
103	0	0.050000	6.000000	0	3	47	5	0.050000
104	0	0.050000	4.000000	0	6	29	5	0.050000
105	1	0.400000	6.000000	3	7	75	59	0.590000
106	0	0.100000	4.000000	1	1	33	17	0.170000
107	0	0.050000	2.000000	0	4	2	7	0.070000
108	1	0.400000	2.000000	3	6	52	47	0.470000
109	1	0.200000	6.000000	2	9	1	24	0.240000
110	0	0.050000	6.000000	0	2	11	6	0.060000
111	1	0.200000	2.000000	2	8	21	26	0.260000
112	1	0.200000	4.000000	2	5	49	25	0.250000
113	1	0.200000	2.000000	2	2	64	29	0.290000
114	0	0.050000	4.000000	0	3	22	5	0.050000
115	1	0.400000	6.000000	3	9	41	54	0.540000
116	1	0.400000	2.000000	3	0	73	48	0.480000
117	0	0.050000	6.000000	0	9	3	6	0.060000
118	0	0.100000	2.000000	1	3	31	16	0.160000
119	1	0.200000	6.000000	2	4	65	33	0.330000
