trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
0	0	0.100000	6.000000	1	6	51	12	0.120000
1	1	0.200000	2.000000	2	3	39	30	0.300000
2	0	0.100000	6.000000	1	8	45	11	0.110000
3	1	0.400000	6.000000	3	8	65	55	0.550000
4	1	0.200000	2.000000	2	7	73	26	0.260000
5	0	0.050000	4.000000	0	2	2	6	0.060000
6	0	0.050000	4.000000	0	9	6	4	0.040000
7	0	0.050000	6.000000	0	4	13	8	0.080000
8	1	0.400000	4.000000	3	3	45	47	0.470000
9	0	0.050000	2.000000	0	9	17	7	0.070000
10	1	0.400000	2.000000	3	4	71	50	0.500000
11	0	0.100000	2.000000	1	9	22	15	0.150000
12	0	0.100000	2.000000	1	0	55	13	0.130000
13	1	0.400000	6.000000	3	2	0	49	0.490000
14	1	0.200000	6.000000	2	5	28	33	0.330000
15	0	0.100000	6.000000	1	2	27	12	0.120000
16	1	0.200000	6.000000	2	0	48	38	0.380000
17	0	0.050000	4.000000	0	0	37	7	0.070000
18	0	0.050000	4.000000	0	5	0	5	0.050000
19	1	0.200000	4.000000	2	7	53	33	0.330000
20	0	0.050000	4.000000	0	4	69	5	0.050000
21	1	0.400000	2.000000	3	7	49	47	0.470000
22	0	0.100000	6.000000	1	3	71	10	0.100000
23	1	0.400000	4.000000	3	2	64	57	0.570000
24	0	0.100000	4.000000	1	0	48	13	0.130000
25	1	0.400000	4.000000	3	5	24	50	0.500000
26	0	0.100000	4.000000	1	2	77	19	0.190000
27	0	0.050000	6.000000	0	1	36	7	0.070000
28	1	0.200000	2.000000	2	4	54	27	0.270000
29	1	0.200000	4.000000	2	6	71	27	0.270000
30	0	0.100000	6.000000	1	9	33	12	0.120000
31	0	0.100000	4.000000	1	7	15	14	0.140000
32	0	0.050000	2.000000	0	6	68	9	0.090000
33	1	0.400000	6.000000	3	0	44	59	0.590000
34	1	0.400000	6.000000	3	3	37	62	0.620000
35	1	0.200000	6.000000	2	7	41	37	0.370000
36	0	0.050000	2.000000	0	5	27	8	0.080000
37	1	0.200000	6.000000	2	1	25	35	0.350000
38	0	0.100000	6.000000	1	0	41	11	0.110000
39	0	0.100000	2.000000	1	5	49	18	0.180000
40	0	0.100000	4.000000	1	3	51	13	0.130000
41	0	0.050000	4.000000	0	7	55	5	0.050000
42	0	0.050000	2.000000	0	7	57	7	0.070000
