trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
0	0	0.050000	4.000000	0	4	26	6	0.060000
1	0	0.050000	6.000000	0	8	36	5	0.050000
2	1	0.200000	2.000000	2	1	9	24	0.240000
3	0	0.050000	4.000000	0	3	74	8	0.080000
4	1	0.400000	2.000000	3	2	50	41	0.410000
5	0	0.100000	6.000000	1	9	42	17	0.170000
6	0	0.050000	6.000000	0	7	10	9	0.090000
7	0	0.050000	2.000000	0	8	65	10	0.100000
8	1	0.200000	4.000000	2	2	79	35	0.350000
9	1	0.200000	6.000000	2	3	14	35	0.350000
10	0	0.100000	2.000000	1	0	52	12	0.120000
11	0	0.050000	2.000000	0	9	14	14	0.140000
12	1	0.400000	4.000000	3	8	69	71	0.710000
13	1	0.200000	4.000000	2	3	6	15	0.150000
14	0	0.100000	2.000000	1	8	17	21	0.210000
15	1	0.400000	6.000000	3	5	48	53	0.530000
16	0	0.100000	6.000000	1	8	62	19	0.190000
17	0	0.100000	2.000000	1	5	59	13	0.130000
18	1	0.200000	2.000000	2	6	77	25	0.250000
19	0	0.100000	4.000000	1	5	53	13	0.130000
20	1	0.400000	6.000000	3	4	44	58	0.580000
21	1	0.400000	6.000000	3	1	51	65	0.650000
22	1	0.400000	4.000000	3	9	17	55	0.550000
23	1	0.200000	6.000000	2	6	75	40	0.400000
24	1	0.200000	2.000000	2	8	26	21	0.210000
25	0	0.050000	2.000000	0	5	52	17	0.170000
26	0	0.050000	4.000000	0	9	17	7	0.070000
27	0	0.050000	6.000000	0	1	54	6	0.060000
28	0	0.100000	4.000000	1	9	3	8	0.080000
29	1	0.400000	2.000000	3	4	52	54	0.540000
30	1	0.200000	6.000000	2	0	67	56	0.560000
31	0	0.100000	4.000000	1	0	27	14	0.140000
32	0	0.050000	4.000000	0	0	75	11	0.110000
33	1	0.200000	2.000000	2	4	65	55	0.550000
34	0	0.100000	6.000000	1	0	74	19	0.190000
35	0	0.050000	2.000000	0	2	9	12	0.120000
36	1	0.200000	4.000000	2	6	39	49	0.490000
37	1	0.200000	4.000000	2	1	76	42	0.420000
38	0	0.100000	4.000000	1	1	57	9	0.090000
39	0	0.050000	4.000000	0	7	1	7	0.070000
40	0	0.100000	6.000000	1	2	29	8	0.080000
41	1	0.400000	6.000000	3	2	51	56	0.560000
42	1	0.400000	2.000000	3	3	27	37	0.370000
43	0	0.100000	6.000000	1	3	3	9	0.090000
44	1	0.400000	4.000000	3	3	49	50	0.500000
45	0	0.100000	2.000000	1	6	2	12	0.120000
46	1	0.200000	4.000000	2	0	1	21	0.210000
47	0	0.100000	2.000000	1	4	22	14	0.140000
48	0	0.050000	6.000000	0	3	8	8	0.080000
49	0	0.050000	4.000000	0	1	75	4	0.040000
50	1	0.400000	2.000000	3	7	33	38	0.380000
51	1	0.400000	2.000000	3	0	75	53	0.530000
52	1	0.400000	6.000000	3	6	51	46	0.460000
53	1	0.200000	2.000000	2	2	62	17	0.170000
54	1	0.400000	6.000000	3	0	45	30	0.300000
55	1	0.200000	2.000000	2	0	78	18	0.180000
56	1	0.200000	2.000000	2	9	74	19	0.190000
57	0	0.100000	2.000000	1	9	24	11	0.110000
58	0	0.100000	4.000000	1	2	20	10	0.100000
59	0	0.050000	6.000000	0	2	55	7	0.070000
60	1	0.200000	6.000000	2	8	35	25	0.250000
61	0	0.050000	2.000000	0	0	44	6	0.060000
62	0	0.050000	6.000000	0	5	66	10	0.100000
63	0	0.100000	6.000000	1	1	23	13	0.130000
64	1	0.200000	4.000000	2	4	51	34	0.340000
65	0	0.100000	2.000000	1	2	31	21	0.210000
66	1	0.200000	2.000000	2	7	60	35	0.350000
67	1	0.400000	2.000000	3	9	8	39	0.390000
68	0	0.050000	2.000000	0	1	45	10	0.100000
69	1	0.200000	6.000000	2	7	18	20	0.200000
70	1	0.200000	4.000000	2	5	75	45	0.450000
71	0	0.100000	6.000000	1	5	9	10	0.100000
72	0	0.100000	2.000000	1	1	4	13	0.130000
73	0	0.050000	2.000000	0	3	34	9	0.090000
74	1	0.200000	6.000000	2	2	14	20	0.200000
75	1	0.200000	4.000000	2	8	11	19	0.190000
76	0	0.050000	6.000000	0	6	21	5	0.050000
77	1	0.400000	4.000000	3	4	62	64	0.640000
78	0	0.050000	2.000000	0	7	26	6	0.060000
79	0	0.050000	4.000000	0	6	24	6	0.060000
80	0	0.050000	6.000000	0	4	66	6	0.060000
81	1	0.200000	2.000000	2	3	5	27	0.270000
82	1	0.400000	4.000000	3	0	27	43	0.430000
83	0	0.050000	2.000000	0	4	6	8	0.080000
84	1	0.400000	4.000000	3	7	61	56	0.560000
85	0	0.050000	2.000000	0	6	24	9	0.090000
86	0	0.100000	6.000000	1	4	53	22	0.220000
87	1	0.200000	6.000000	2	1	56	24	0.240000
88	1	0.200000	4.000000	2	7	57	37	0.370000
89	1	0.200000	6.000000	2	4	65	25	0.250000
90	1	0.400000	4.000000	3	6	14	44	0.440000
91	0	0.100000	6.000000	1	7	34	15	0.150000
92	1	0.200000	6.000000	2	9	27	26	0.260000
93	1	0.200000	2.000000	2	5	50	27	0.270000
94	1	0.400000	2.000000	3	8	30	38	0.380000
95	1	0.400000	2.000000	3	1	55	58	0.580000
96	1	0.400000	6.000000	3	3	76	56	0.560000
97	1	0.400000	6.000000	3	9	1	53	0.530000
98	0	0.050000	6.000000	0	9	79	4	0.040000
99	1	0.400000	4.000000	3	2	22	38	0.380000
100	1	0.400000	6.000000	3	7	67	59	0.590000
101	0	0.100000	4.000000	1	3	62	18	0.180000
102	0	0.100000	4.000000	1	4	29	17	0.170000
103	0	0.100000	6.000000	1	6	31	13	0.130000
104	0	0.100000	4.000000	1	6	30	18	0.180000
105	1	0.200000	4.000000	2	9	4	27	0.270000
106	1	0.400000	2.000000	3	6	50	59	0.590000
107	1	0.400000	4.000000	3	5	26	41	0.410000
108	0	0.050000	4.000000	0	5	57	9	0.090000
109	0	0.050000	4.000000	0	8	21	6	0.060000
110	1	0.200000	6.000000	2	5	54	29	0.290000
111	0	0.050000	4.000000	0	2	42	10	0.100000
112	1	0.400000	4.000000	3	1	25	41	0.410000
113	1	0.400000	6.000000	3	8	45	58	0.580000
114	0	0.050000	6.000000	0	0	75	5	0.050000
115	1	0.400000	2.000000	3	5	19	26	0.260000
116	0	0.100000	4.000000	1	7	15	10	0.100000
117	0	0.100000	4.000000	1	8	32	14	0.140000
118	0	0.100000	2.000000	1	7	45	12	0.120000
119	0	0.100000	2.000000	1	3	59	10	0.100000
