trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
102	0	0.100000	4.000000	1	9	8	11	0.110000
103	1	0.400000	4.000000	3	6	13	47	0.470000
104	1	0.400000	4.000000	3	8	36	46	0.460000
105	0	0.100000	6.000000	1	3	23	11	0.110000
106	1	0.200000	4.000000	2	1	20	36	0.360000
107	0	0.100000	2.000000	1	1	54	10	0.100000
108	1	0.200000	6.000000	2	1	53	33	0.330000
109	0	0.050000	2.000000	0	1	54	9	0.090000
110	1	0.200000	6.000000	2	9	44	42	0.420000
111	1	0.400000	2.000000	3	3	62	41	0.410000
112	0	0.100000	6.000000	1	5	14	13	0.130000
113	1	0.400000	2.000000	3	5	43	42	0.420000
114	1	0.400000	6.000000	3	7	51	59	0.590000
115	1	0.200000	4.000000	2	0	80	29	0.290000
116	0	0.100000	6.000000	1	0	46	10	0.100000
117	1	0.400000	6.000000	3	4	8	48	0.480000
118	0	0.050000	2.000000	0	7	8	8	0.080000
119	1	0.200000	2.000000	2	4	25	25	0.250000
