trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
102	1	0.200000	6.000000	2	0	35	54	0.540000
103	1	0.400000	4.000000	3	1	36	63	0.630000
104	1	0.400000	4.000000	3	2	25	64	0.640000
105	0	0.100000	4.000000	1	7	71	16	0.160000
106	0	0.050000	6.000000	0	3	11	6	0.060000
107	1	0.400000	2.000000	3	0	26	49	0.490000
108	0	0.050000	4.000000	0	5	33	6	0.060000
109	0	0.100000	6.000000	1	8	42	11	0.110000
110	0	0.050000	6.000000	0	1	37	6	0.060000
111	0	0.100000	6.000000	1	6	41	8	0.080000
112	0	0.100000	2.000000	1	7	75	23	0.230000
113	1	0.200000	4.000000	2	0	42	63	0.630000
114	1	0.200000	2.000000	2	8	44	38	0.380000
115	0	0.050000	2.000000	0	8	1	5	0.050000
116	1	0.400000	4.000000	3	5	22	57	0.570000
117	0	0.100000	6.000000	1	0	5	13	0.130000
118	1	0.200000	4.000000	2	5	68	56	0.560000
119	0	0.100000	4.000000	1	1	11	14	0.140000
