trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
57	0	0.100000	6.000000	1	7	3	12	0.120000
58	0	0.100000	2.000000	1	9	25	20	0.200000
59	0	0.050000	6.000000	0	7	24	9	0.090000
60	0	0.100000	6.000000	1	0	71	17	0.170000
61	0	0.050000	6.000000	0	5	20	7	0.070000
62	1	0.400000	6.000000	3	7	63	48	0.480000
63	1	0.400000	4.000000	3	6	12	57	0.570000
64	0	0.050000	6.000000	0	6	62	10	0.100000
65	0	0.050000	4.000000	0	3	48	8	0.080000
66	0	0.050000	6.000000	0	4	60	7	0.070000
67	1	0.400000	6.000000	3	8	11	51	0.510000
68	0	0.100000	2.000000	1	0	35	25	0.250000
69	1	0.400000	4.000000	3	8	16	46	0.460000
70	1	0.200000	6.000000	2	9	24	44	0.440000
71	0	0.050000	2.000000	0	3	2	17	0.170000
72	1	0.200000	2.000000	2	0	19	24	0.240000
73	1	0.200000	4.000000	2	6	70	45	0.450000
74	0	0.100000	4.000000	1	5	20	14	0.140000
75	0	0.100000	6.000000	1	4	1	14	0.140000
76	1	0.200000	4.000000	2	8	58	33	0.330000
77	1	0.400000	2.000000	3	2	47	47	0.470000
78	0	0.050000	6.000000	0	2	65	9	0.090000
79	1	0.200000	6.000000	2	0	49	34	0.340000
80	0	0.100000	4.000000	1	8	41	16	0.160000
81	0	0.100000	4.000000	1	7	63	13	0.130000
82	1	0.400000	6.000000	3	9	25	55	0.550000
83	1	0.200000	2.000000	2	1	20	35	0.350000
84	0	0.100000	4.000000	1	9	51	17	0.170000
85	1	0.200000	2.000000	2	6	2	22	0.220000
86	0	0.050000	4.000000	0	8	12	12	0.120000
87	1	0.400000	4.000000	3	1	31	51	0.510000
88	0	0.050000	4.000000	0	0	16	11	0.110000
89	1	0.400000	2.000000	3	7	7	42	0.420000
90	0	0.100000	2.000000	1	2	67	16	0.160000
91	0	0.100000	4.000000	1	3	28	18	0.180000
92	0	0.050000	2.000000	0	4	77	12	0.120000
93	1	0.200000	4.000000	2	7	1	26	0.260000
94	1	0.400000	6.000000	3	0	48	53	0.530000
95	1	0.400000	6.000000	3	5	48	68	0.680000
96	1	0.200000	4.000000	2	9	62	32	0.320000
97	0	0.050000	2.000000	0	7	67	13	0.130000
98	0	0.050000	4.000000	0	7	29	9	0.090000
99	1	0.400000	2.000000	3	1	38	43	0.430000
100	1	0.400000	2.000000	3	5	37	42	0.420000
101	0	0.100000	2.000000	1	8	6	16	0.160000
102	0	0.050000	4.000000	0	2	51	11	0.110000
103	1	0.200000	2.000000	2	2	71	26	0.260000
104	0	0.100000	2.000000	1	1	25	20	0.200000
105	0	0.050000	6.000000	0	3	21	7	0.070000
106	0	0.050000	6.000000	0	0	3	8	0.080000
107	1	0.400000	6.000000	3	6	18	48	0.480000
108	1	0.400000	4.000000	3	3	63	43	0.430000
109	1	0.400000	4.000000	3	0	35	55	0.550000
110	1	0.400000	4.000000	3	5	27	52	0.520000
111	0	0.100000	4.000000	1	6	2	12	0.120000
112	1	0.200000	6.000000	2	6	19	39	0.390000
113	0	0.050000	4.000000	0	9	44	9	0.090000
114	1	0.400000	2.000000	3	0	34	24	0.240000
115	1	0.200000	6.000000	2	1	56	36	0.360000
116	1	0.200000	2.000000	2	7	80	25	0.250000
117	0	0.050000	2.000000	0	1	17	12	0.120000
118	0	0.100000	6.000000	1	8	12	12	0.120000
119	0	0.050000	4.000000	0	6	39	9	0.090000
