trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
0	0	0.100000	6.000000	1	9	63	15	0.150000
1	0	0.100000	2.000000	1	3	0	15	0.150000
2	0	0.050000	2.000000	0	5	41	17	0.170000
3	1	0.200000	4.000000	2	1	64	32	0.320000
4	1	0.200000	2.000000	2	3	80	25	0.250000
5	0	0.050000	6.000000	0	8	80	9	0.090000
6	1	0.200000	6.000000	2	2	41	36	0.360000
7	0	0.100000	6.000000	1	2	70	20	0.200000
8	0	0.100000	4.000000	1	1	42	23	0.230000
9	0	0.100000	2.000000	1	4	3	15	0.150000
10	0	0.050000	2.000000	0	6	40	12	0.120000
11	0	0.100000	2.000000	1	7	36	18	0.180000
12	1	0.200000	6.000000	2	4	0	25	0.250000
13	1	0.400000	2.000000	3	4	73	48	0.480000
14	0	0.100000	4.000000	1	0	37	22	0.220000
15	0	0.050000	6.000000	0	1	65	10	0.100000
16	1	0.400000	2.000000	3	3	35	45	0.450000
17	1	0.200000	6.000000	2	8	38	28	0.280000
18	0	0.100000	6.000000	1	3	46	21	0.210000
19	1	0.200000	2.000000	2	9	21	31	0.310000
20	0	0.100000	4.000000	1	4	53	18	0.180000
21	0	0.050000	4.000000	0	1	59	7	0.070000
22	0	0.100000	6.000000	1	5	3	15	0.150000
23	0	0.050000	2.000000	0	8	47	12	0.120000
24	1	0.400000	6.000000	3	2	64	69	0.690000
25	0	0.050000	6.000000	0	9	76	8	0.080000
26	1	0.200000	2.000000	2	4	46	26	0.260000
27	1	0.400000	2.000000	3	6	75	40	0.400000
28	0	0.100000	2.000000	1	5	56	16	0.160000
29	1	0.400000	6.000000	3	3	13	55	0.550000
30	1	0.200000	4.000000	2	0	62	27	0.270000
31	0	0.100000	2.000000	1	6	54	14	0.140000
32	1	0.400000	4.000000	3	2	67	52	0.520000
33	1	0.400000	6.000000	3	4	36	61	0.610000
34	1	0.200000	6.000000	2	3	12	40	0.400000
35	1	0.200000	2.000000	2	8	77	27	0.270000
36	0	0.100000	4.000000	1	2	16	26	0.260000
37	0	0.100000	6.000000	1	6	29	14	0.140000
38	1	0.200000	6.000000	2	5	30	35	0.350000
39	0	0.050000	4.000000	0	5	20	10	0.100000
40	0	0.100000	6.000000	1	1	75	20	0.200000
41	1	0.200000	4.000000	2	2	40	35	0.350000
42	0	0.050000	2.000000	0	9	71	16	0.160000
43	1	0.200000	2.000000	2	5	71	26	0.260000
44	1	0.200000	4.000000	2	3	65	25	0.250000
45	1	0.400000	4.000000	3	4	42	47	0.470000
46	0	0.050000	2.000000	0	2	60	15	0.150000
47	1	0.400000	6.000000	3	1	2	52	0.520000
48	1	0.200000	6.000000	2	7	64	34	0.340000
49	1	0.200000	4.000000	2	4	69	36	0.360000
50	1	0.400000	4.000000	3	9	36	51	0.510000
51	1	0.400000	2.000000	3	8	2	50	0.500000
52	0	0.050000	4.000000	0	4	19	7	0.070000
53	1	0.400000	4.000000	3	7	8	40	0.400000
54	0	0.050000	2.000000	0	0	39	12	0.120000
55	1	0.200000	4.000000	2	5	2	30	0.300000
56	1	0.400000	2.000000	3	9	54	40	0.400000
